Date,Depth_m,Temp_degC,Dissolved Oxygen (% saturation),Chlorophyll_a_mg_m3,PO4-Phosphate_mg_m3,Silica_g_m3,Total Organic Nitrogen_g_m3
1993-01-06,1,5.1,89,1.1,1060,4.4,5.4
1993-01-06,3,5,89,,,,
1993-01-06,5,5,89,,,,
1993-01-06,7,5,89,1.2,,,
1993-01-06,9,5,89,,,,
1993-01-06,11,5,89,1,,,
1993-01-21,1,6.8,103,1.6,420,11.3,7.1
1993-01-21,3,6.8,103,,,,
1993-01-21,5,6.8,103,,,,
1993-01-21,7,6.8,103,2.5,,,
1993-01-21,9,6.8,103,,,,
1993-01-21,11,6.8,103,2.2,,,
1993-01-27,1,6.8,90,1.4,590,8.7,6.8
1993-01-27,3,6.8,90,,,,
1993-01-27,5,6.8,90,1.8,,,
1993-01-27,7,6.8,90,,,,
1993-01-27,9,6.8,90,,,,
1993-01-27,11,6.8,90,1.4,,,
1993-02-10,1,6.5,115,1.4,640,9.2,6.8
1993-02-10,3,6.5,113,,,,
1993-02-10,5,6.5,112,2.8,,,
1993-02-10,7,6.5,112,,,,
1993-02-10,9,6.5,111,,,,
1993-02-10,10,6.5,110,1.9,,,
1993-02-17,1,8.5,94,0.7,350,9.3,6.1
1993-02-17,3,8.5,94,,,,
1993-02-17,5,8.5,93,1,,,
1993-02-17,7,8.5,93,,,,
1993-02-17,9,8.5,93,,,,
1993-02-17,11,8.5,93,,,,
1993-02-17,13,8.5,93,1.3,,,
1993-03-03,1,5.4,93,3,630,11.6,5.9
1993-03-03,3,5.4,93,3.2,,,
1993-03-03,5,5.4,93,2.9,,,
1993-03-03,7,5.4,93,,,,
1993-03-03,9,5.4,93,,,,
1993-03-03,11,5.4,93,,,,
1993-03-16,1,6.7,110,9.2,450,11.1,7.1
1993-03-16,3,6.7,110,,,,
1993-03-16,5,6.7,110,10.8,,,
1993-03-16,7,6.7,110,,,,
1993-03-16,9,6.7,110,,,,
1993-03-16,11,6.7,110,8.7,,,
1993-03-29,1,8.1,109,12.4,540,9.4,8
1993-03-29,3,8.1,111,14.7,,,
1993-03-29,5,8.1,111,13.7,,,
1993-03-29,7,8.1,111,15.3,,,
1993-03-29,9,8.1,111,14.6,,,
1993-03-29,11,8.1,111,13.8,,,
1993-03-29,11.5,8.1,110,,,,
1993-04-07,1,8.6,98,9.9,440,8.6,7.9
1993-04-07,3,8.6,98,,,,
1993-04-07,5,8.6,98,11.5,,,
1993-04-07,7,8.6,98,,,,
1993-04-07,9,8.6,98,,,,
1993-04-07,11,8.6,98,12.7,,,
1993-04-14,1,9,94,63,430,8.7,8
1993-04-14,3,9,93,,,,
1993-04-14,5,9,92,9,,,
1993-04-14,7,9,92,,,,
1993-04-14,9,9,92,,,,
1993-04-14,11,8.9,92,12,,,
1993-04-22,1,11.3,102,10.2,510,6.4,6.5
1993-04-22,3,11.1,102,,,,
1993-04-22,5,11,100,8.8,,,
1993-04-22,7,11,100,,,,
1993-04-22,9,11,100,,,,
1993-04-22,11,10.9,98,8,,,
1993-04-28,1,11.2,90,2.1,530,9.1,8
1993-04-28,3,11,87,,,,
1993-04-28,5,11,86,1.7,,,
1993-04-28,7,10.9,83,,,,
1993-04-28,9,10.9,83,,,,
1993-04-28,10,10.9,82,2.1,,,
1993-05-06,1,12.3,96,3.1,1000,8,6
1993-05-06,3,12.2,95,2.7,,,
1993-05-06,5,12,92,1.5,,,
1993-05-06,7,11.9,90,5.3,,,
1993-05-06,9,11.7,86,4.9,,,
1993-05-06,11,11.3,83,3.8,,,
,,,,,,,
1993-05-13,1,13.1,103,12.4,500,4.8,6.2
1993-05-13,3,13,100,,,,
1993-05-13,5,13,100,,,,
1993-05-13,7,12.9,98,15.2,,,
1993-05-13,9,12.8,97,,,,
1993-05-13,11,12.8,93,13.1,,,
,,,,,,,
1993-05-21,1,13.3,118,24.1,480,1,6.3
1993-05-21,3,13.3,118,22.9,,,
1993-05-21,5,13.3,118,26,,,
1993-05-21,7,13.3,118,,,,
1993-05-21,9,13.3,118,14.3,,,
1993-05-21,11,12.9,117,30.6,,,
,,,,,,,
1993-05-26,1,14.3,107,8.2,480,1,6
1993-05-26,3,14.3,106,,,,
1993-05-26,5,14.3,105,,,,
1993-05-26,7,14.3,103,6.6,,,
1993-05-26,9,14.3,102,,,,
1993-05-26,11,14.3,100,11.6,,,
,,,,,,,
1993-06-04,1,16.2,99,7.7,,,
1993-06-04,3,15.5,93,,,,
1993-06-04,5,15.1,93,,,,
1993-06-04,7,14.9,92,6.2,,,
1993-06-04,9,14.8,92,,,,
1993-06-04,11,14.7,91,4,,,
,,,,,,,
1993-06-10,1,20.1,114,5.8,490,1,6.1
1993-06-10,3,19.8,119,6.3,,,
1993-06-10,5,16.4,121,4,,,
1993-06-10,7,14.9,110,4,,,
1993-06-10,9,14.4,106,1.7,,,
1993-06-10,11,14.2,100,2.6,,,
,,,,,,,
1993-06-17,1,17.5,95,3,510,1,5.5
1993-06-17,3,17.4,95,4.2,,,
1993-06-17,5,17.4,95,3.1,,,
1993-06-17,7,15.2,80,3.8,,,
1993-06-17,9,14.4,72,2,,,
